ACTIVE,ROA,ROE,ASSET,STNAME,BKCLASS
0,1.9244458304975296,16.68,138228.0,Nebraska,NM
1,1.6574030031299731,17.99,1415211.0,Nebraska,NM
1,0.9228116793428628,10.92,799647.0,Maryland,NM
1,0.2295962750540829,3.73,545564.0,New York,N
1,0.668055005569499,7.79,577241.0,Minnesota,N
0,0.0410832277722619,0.51,29586.0,Kansas,NM
0,1.3137734645059358,12.1,116995.0,Iowa,SM
1,0.9255074148210328,10.95,166980.0,Indiana,NM
0,0.132826475871788,1.44,209298.0,Maine,NM
1,0.4104056689766876,5.79,1465572.0,Idaho,SB
0,1.2693699076071885,9.28,3095359.0,Maryland,NM
0,1.2740899507082748,16.84,1977640.0,Arizona,NM
0,0.1968342721640162,1.32,53156.0,Illinois,NM
1,1.7662918359203137,21.6,154513.0,Mississippi,SM
0,0.4684082083854437,4.87,321835.0,Massachusetts,SB
1,0.1133100405784571,1.16,532863.0,Nebraska,SM
1,0.4160279194889003,3.66,391029.0,New York,SB
0,0.9756823724026292,12.03,118245.0,Iowa,NM
0,0.4000608299836519,3.59,226668.0,Maryland,NM
1,1.4995453232273992,13.73,11410200.0,Pennsylvania,NM
0,0.5338281681303368,4.01,319354.0,Illinois,SI
1,0.9710209425772204,6.81,637400.0,California,NM
1,1.4151048514697036,17.04,195327.0,Kentucky,NM
0,-1.5814777327935223,-6.17,31009.0,Pennsylvania,SI
0,-196.56019656019657,-254.78,200.0,New Hampshire,SB
1,1.0338356855349542,9.0,1505048.0,Arkansas,SM
0,-6.134528587715325,-35.28,190008.0,Missouri,N
1,1.2511002656843078,11.8,6580794.0,Louisiana,NM
0,-0.9267401389057096,-9.41,93017.0,Illinois,NS
1,0.6117935780489087,6.63,4484145.0,Massachusetts,SI
1,1.232446641282705,21.63,95004.0,Illinois,NM
1,0.4019725680080598,4.07,17042877.0,Ohio,SB
0,0.1899148589758044,1.35,940280.0,Idaho,NM
0,0.4093128831111933,3.62,224912.0,Kentucky,N
1,1.7160244394117254,16.96,5718417.0,Illinois,N
0,2.4934935655414363,9.27,141373959.0,Delaware,N
1,0.2790879631216715,8.12,521769.0,Iowa,NM
1,-3.907976006523237,-53.78,226113.0,Kentucky,NM
0,-2.319138319438964,-23.38,476391.0,California,SB
1,0.3283481127640657,3.45,36153160.0,Florida,N
1,0.3955040267463799,7.12,92382.0,Minnesota,NM
0,1.0813081389440309,10.39,147076.0,Indiana,NM
1,1.0803208575129994,13.23,44364.0,Nebraska,NM
0,0.7610439180882577,8.55,86240.0,Florida,NM
1,1.5372377052046189,17.45,724172.0,Alabama,NM
1,-0.1447328758621912,-1.63,478230.0,Kentucky,NM
0,1.0976085567733738,9.6,421614.0,California,NM
0,-0.2550162369684033,-3.7,325298.0,Mississippi,NM
1,0.8765501967182137,10.53,647988.0,Indiana,NM
1,1.0155915787886822,10.69,311188.0,West Virginia,NM
1,1.3152349974320818,14.32,60881.0,Minnesota,NM
0,-0.905441986371698,-8.83,45161.0,Indiana,NM
0,0.8458698803808489,7.59,1702692.0,North Carolina,NM
1,0.648325464376638,9.58,243108.0,Iowa,NM
0,0.9307811853624176,14.79,71230.0,Minnesota,NM
1,0.9801120664307448,11.7,98124.0,Illinois,NM
1,1.904036557501904,18.52,44416.0,Texas,NM
1,0.458957293399889,7.13,473127.0,Kentucky,NM
1,0.8477234313195908,8.3,114571.0,Louisiana,NM
1,1.4520550458435069,15.14,521498.0,Arkansas,SM
1,2.227475185412368,17.45,483458.0,Wisconsin,NM
0,0.0704552369057341,0.57,59865.0,Kansas,NM
0,-0.1575365226274138,-1.61,319680.0,California,NM
1,1.0443843215433286,13.41,1635448.0,North Carolina,NM
1,0.2284421572726275,3.5,1569616.0,Wisconsin,N
0,-0.4817511854662435,-4.77,48503.0,Georgia,NM
0,-4.0603797401777735,-406.72,151808.0,West Virginia,NM
1,1.052761019484235,13.66,491496.0,Illinois,NM
1,1.2413569214108764,19.64,977579.0,Tennessee,SM
1,0.1712817204415736,1.75,146627.0,Oklahoma,N
1,0.5347524583559731,5.62,138682.0,Michigan,NM
1,0.6281009317674711,11.54,80842.0,Minnesota,NM
1,0.5123972356899096,5.09,276902.0,Tennessee,NM
0,0.5329657707328279,6.1,156998.0,Minnesota,NM
0,0.5367426005178995,5.37,178425.0,West Virginia,SM
1,1.4962308888431484,18.78,753205.0,Ohio,N
1,0.9783090452213512,9.93,580746.0,Minnesota,NM
1,0.9879685793833646,10.46,296739.0,Illinois,N
1,0.0112388748844588,0.11,351163.0,New Hampshire,SI
1,0.6716630462044662,3.33,201297.0,California,N
0,-1.21580547112462,-11.11,24055.0,Montana,NM
0,0.8744243584800946,10.21,948256.0,Massachusetts,SI
1,0.9447770201372075,14.89,142835.0,Louisiana,NM
1,1.0899726573500923,10.57,261414.0,Iowa,NM
1,3.1497017502058697,25.8,47183.0,Georgia,NM
1,1.3517444667243494,10.26,326895.0,Missouri,SM
1,1.6867633048334445,15.17,670592.0,Tennessee,NM
1,1.1112500841856123,14.49,42702.0,North Dakota,NM
0,0.5872499802831512,4.64,1679443.0,Florida,SM
1,0.8674002212078815,9.6,654574.0,Louisiana,SB
1,0.6784061027144646,7.12,53357.0,Minnesota,NM
1,1.4394786321423254,15.7,550204.0,Iowa,N
0,1.513349110907397,14.8,668662.0,Illinois,NM
0,0.8629983795320406,8.2,1666225.0,Wisconsin,N
0,0.6509906657093035,8.79,23389.0,Illinois,N
0,1.4318579977396644,18.13,1026982.0,Illinois,N
0,0.9778143422623804,12.46,309011.0,Illinois,N
0,1.0467304375097983,10.94,138459.0,Illinois,N
0,1.2197699344826545,8.72,66299.0,Illinois,NM
0,1.050567542177032,12.08,440466.0,Illinois,NM
0,0.5640121932662133,7.56,135244.0,Illinois,N
0,1.2287450978204475,11.51,90397.0,Illinois,N
0,-1.1529980570748308,-9.05,86287.0,Illinois,N
0,,,,Illinois,N
0,-0.3591068441973109,-4.97,11829.0,Illinois,N
0,1.4339610917909855,16.5,110004.0,Illinois,N
0,1.3154284228819555,17.93,252312.0,Arkansas,N
0,1.280033267869703,15.74,605652.0,Arkansas,N
0,1.6589690193934177,19.96,258125.0,Arkansas,N
0,1.3475327761042049,12.61,118996.0,Arkansas,N
0,1.911064766892556,23.28,78447.0,Arkansas,N
0,2.0683539911714246,26.81,413317.0,Arkansas,N
0,1.701053131150036,20.11,166655.0,Indiana,N
0,1.7309164761527225,18.37,261217.0,Indiana,N
0,0.8642957942487702,11.09,68278.0,Indiana,N
0,-0.0401301219203266,-0.55,77315.0,Indiana,N
0,0.8200853695425672,9.4,118828.0,Indiana,N
0,1.460588042899892,14.36,100981.0,Indiana,NM
0,1.2279296800518629,17.86,83236.0,Indiana,N
0,1.704390845380541,17.74,19830.0,Indiana,NM
0,1.466975058337803,18.41,195410.0,Indiana,NM
0,-6.044929537957898,-86.75,51966.0,Iowa,N
0,0.6360823849011985,6.58,64892.0,Iowa,NM
0,0.4428752445040412,4.97,79304.0,Iowa,NM
0,0.8474649868863658,16.03,145294.0,Iowa,N
0,,,,Iowa,N
0,0.6751649781893244,6.98,99778.0,Iowa,N
0,0.9290556489227108,9.88,51469.0,Iowa,N
0,0.6163937017207658,7.41,48963.0,Iowa,NM
0,1.0478567490036503,11.56,75500.0,Iowa,NM
0,-0.0966323621780934,-1.07,20524.0,Iowa,N
0,1.2701282659482096,18.42,76617.0,Missouri,N
0,1.385609681548977,10.32,118635.0,Missouri,N
0,0.3882368326413182,5.96,25780.0,Missouri,NM
0,1.178558728289526,16.56,3998032.0,Missouri,N
0,0.9942399789304766,14.47,1375616.0,Missouri,NM
0,1.2410264361578378,16.84,108658.0,Missouri,NM
0,1.2341193498239948,20.72,87574.0,Missouri,NM
0,0.6479956417992233,8.09,297080.0,Missouri,NM
0,0.9980714093195212,16.03,50230.0,Missouri,N
0,0.6333709135573505,9.56,122041.0,Missouri,N
0,-5.817495427808817,-241.3,193485.0,Missouri,N
0,1.7411303718216278,21.21,355455.0,Missouri,NM
0,0.4518090679301039,3.67,32149.0,Kansas,N
0,0.8175330272359791,9.16,210269.0,Kansas,N
0,0.404988146392058,4.67,59007.0,Kansas,N
0,0.5488671741438572,3.57,11953.0,Kansas,NM
0,0.8359314988025847,8.48,90785.0,Kansas,N
0,1.1459252981270815,18.89,41222.0,Kansas,NM
0,1.3986839937461124,24.51,104234.0,Kansas,N
0,1.0753499095682575,16.57,153657.0,Kansas,N
0,1.3646981923208472,21.23,19618.0,Kansas,N
0,1.678590068693557,16.56,94127.0,Kansas,N
0,0.5619731501717157,3.88,11250.0,Kansas,N
0,-4.950329332768861,-51.48,33770.0,Kansas,N
0,-4.429291105302782,-48.64,52204.0,Kansas,N
0,1.1527721058281566,11.64,160712.0,Kansas,N
0,1.1062182984868645,12.37,58848.0,Kansas,N
0,0.730464160706133,10.05,8113.0,Kansas,N
0,-1.5566402514572717,0.0,58350.0,Colorado,N
0,1.2774366476492236,14.32,140090.0,Colorado,N
0,0.5636890315509278,7.43,63567.0,Colorado,N
0,0.7811923245935257,7.89,33460.0,Colorado,N
0,1.771136295256243,33.1,149741.0,Colorado,N
0,0.0882729399302643,0.85,43453.0,Colorado,N
0,-5.177454506795197,0.0,17588.0,Colorado,N
0,0.4587858560025077,2.97,298911.0,Colorado,N
0,-15.120902587728756,-160.51,789839.0,Texas,N
